Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-06-27 16:08:07,false,"Sydney Running","4.44","609","00:46:20","148","186","5.0","125","186","10:26","6:40","240","308","1.33","0.0","0.0","0.0","0.0","0.0","46:20","0:00","60.8","0:00","No","07:49.03","5","0.0"
Treadmill Running,2020-06-26 19:59:12,false,"Treadmill Running","0.76","82","00:06:39.7","126","145","1.6","158","171","8:43","6:34","--","--","1.17","0.0","0.0","0.0","0.0","0.0","6:39.7","0:00","73.4","0:00","No","06:39.68","1","0.0"
Treadmill Running,2020-06-25 20:06:13,false,"Treadmill Running","0.50","133","00:12:39","121","146","1.7","62","172","25:05","7:35","--","--","1.04","0.0","0.0","0.0","0.0","0.0","12:39","0:00","71.6","0:00","No","12:38.87","1","0.0"
Running,2020-05-18 18:19:47,false,"Sydney Running","4.01","561","00:33:26","157","173","3.8","163","175","8:21","7:00","203","259","1.18","0.0","0.0","0.0","0.0","0.0","33:26","0:00","68.0","0:00","No","00:03.90","5","0.0"
Running,2020-05-14 16:36:57,false,"Sydney Running","2.99","401","00:24:43","150","164","3.2","163","172","8:17","6:52","174","223","1.19","0.0","0.0","0.0","0.0","0.0","24:43","0:00","64.4","0:00","No","07:51.54","3","0.0"
Running,2020-05-10 15:56:06,false,"Sydney Running","3.01","432","00:25:39","157","182","3.5","163","178","8:32","7:10","200","213","1.15","0.0","0.0","0.0","0.0","0.0","25:39","0:00","66.2","0:00","No","00:04.24","4","0.0"
Running,2020-05-06 19:50:19,false,"Sydney Running","4.04","569","00:34:03","158","176","3.7","164","176","8:26","7:06","223","279","1.16","0.0","0.0","0.0","0.0","0.0","34:03","0:00","62.6","0:00","No","00:22.12","5","0.0"
Running,2020-05-05 20:02:20,false,"Sydney Running","2.83","410","00:25:13","150","172","3.3","162","182","8:54","6:38","174","200","1.11","0.0","0.0","0.0","0.0","0.0","25:13","0:00","64.4","0:00","No","06:42.26","3","0.0"
Running,2020-05-03 20:56:35,false,"Sydney Running","4.17","639","00:38:03","158","186","4.0","158","176","9:08","7:30","220","289","1.11","0.0","0.0","0.0","0.0","0.0","38:03","0:00","59.0","0:00","No","03:10.36","5","0.0"
Running,2020-04-28 20:30:54,false,"Sydney Running","2.91","381","00:24:25","146","160","3.0","157","175","8:23","7:22","187","207","1.23","0.0","0.0","0.0","0.0","0.0","24:25","0:00","69.8","0:00","No","07:58.31","3","0.0"
